jugadorID;nombre;apellidos;nombreDeportivo;anyoNacimiento;mesNacimiento;diaNacimiento;paisNacimiento;estadoNacimiento;ciudadNacimiento;anyoFallecimiento;mesFallecimiento;diaFallecimiento;paisFallecimiento;estadoFallecimiento;ciudadFallecimiento;peso;altura;batear;lanzar;fechaDebut;fechaRetirada
fraziad01;Adam;Frazier;Adam Timothy;1991;12;14;USA;GA;Athens;;;;;;;185;70;L;R;2016-06-24;2021-10-03
frazicl01;Clint;Frazier;Clint Jackson;1994;9;6;USA;GA;Decatur;;;;;;;212;71;R;R;2017-07-01;2021-06-30
frazige01;George;Frazier;George Allen;1954;10;13;USA;OK;Oklahoma City;;;;;;;205;77;R;R;1978-05-25;1987-10-04
frazije01;Jeff;Frazier;Jeffrey Michael;1982;8;10;USA;NJ;Point Pleasant;;;;;;;195;75;R;R;2010-07-30;2010-08-15
frazijo01;Joe;Frazier;Joseph Filmore;1922;10;6;USA;NC;Liberty;2011;2;15;USA;OK;Broken Arrow;180;72;L;R;1947-08-31;1956-09-30
frazilo01;Lou;Frazier;Arthur Louis;1965;1;26;USA;MO;St. Louis;;;;;;;175;74;B;R;1993-04-08;1998-04-19
frazito01;Todd;Frazier;Todd Brian;1986;2;12;USA;NJ;Point Pleasant;;;;;;;215;75;R;R;2011-05-23;2021-05-09
fredejo01;Johnny;Frederick;John Henry;1902;1;26;USA;CO;Denver;1977;6;18;USA;OR;Tigard;165;71;L;L;1929-04-18;1934-09-25
fredeke01;Kevin;Frederick;Kevin Albert Francis;1976;11;4;USA;IL;Evanston;;;;;;;215;73;L;R;2002-07-15;2004-09-17
fredrsc01;Scott;Fredrickson;Scott Eric;1967;8;19;USA;NH;Manchester;;;;;;;220;75;R;R;1993-04-29;1993-07-23
freeded01;Ed;Freed;Edwin Charles;1919;8;22;USA;PA;Centre Valley;2002;11;15;USA;SC;Rock Hill;165;66;R;R;1942-09-11;1942-09-27
freedro01;Roger;Freed;Roger Vernon;1946;6;2;USA;CA;Los Angeles;1996;1;9;USA;CA;Chino;190;72;R;R;1970-09-18;1979-09-28
freehbi01;Bill;Freehan;William Ashley;1941;11;29;USA;MI;Detroit;2021;8;19;USA;MI;Petoskey;203;75;R;R;1961-09-26;1976-10-03
freelky01;Kyle;Freeland;Kyle Richard;1993;5;14;USA;CO;Denver;;;;;;;204;76;L;L;2017-04-07;2021-09-28
freelry01;Ryan;Freel;Ryan Paul;1976;3;8;USA;FL;Jacksonville;2012;12;22;USA;FL;Jacksonville;185;70;R;R;2001-04-04;2009-08-04
freembu01;Buck;Freeman;John Frank;1871;10;30;USA;PA;Catasauqua;1949;6;25;USA;PA;Wilkes-Barre;169;69;L;L;1891-06-27;1907-04-20
freembu02;Buck;Freeman;Alexander Vernon;1896;7;5;USA;TX;Mart;1953;2;21;USA;TX;Fort Sam Houston;167;70;B;R;1921-04-13;1922-06-10
freemch01;Choo;Freeman;Raphael;1979;10;20;USA;AR;Pine Bluff;;;;;;;200;74;R;R;2004-06-04;2006-09-30
freemfr01;Freddie;Freeman;Frederick Charles;1989;9;12;USA;CA;Villa Park;;;;;;;220;77;L;R;2010-09-01;2021-10-03
freemha01;Harvey;Freeman;Harvey Bayard;1897;12;22;USA;MI;Mottville;1970;1;10;USA;MI;Kalamazoo;160;70;R;R;1921-07-10;1921-09-28
freemhe01;Hersh;Freeman;Hershell Baskin;1928;7;1;USA;AL;Gadsden;2004;1;17;USA;FL;Orlando;220;75;R;R;1952-09-10;1958-06-07
freemje01;Jerry;Freeman;Frank Ellsworth;1879;12;26;USA;CA;Placerville;1952;9;30;USA;CA;Los Angeles;220;74;L;R;1908-04-14;1909-05-21
freemji01;Jimmy;Freeman;Jimmy Lee;1951;6;29;USA;NM;Carlsbad;;;;;;;180;76;L;L;1972-09-01;1973-07-31
freemjo01;John;Freeman;John Edward;1901;1;24;USA;MA;Boston;1958;4;14;USA;DC;Washington;160;68;R;R;1927-06-17;1927-07-04
freemju01;Julie;Freeman;Julius Benjamin;1868;11;7;USA;MO;;1921;6;10;USA;MO;St. Louis;;;R;R;1888-10-10;1888-10-10
freemju02;Justin;Freeman;Justin Michael;1986;10;22;USA;GA;Macon;;;;;;;175;71;R;R;2013-04-17;2013-04-17
freemla01;LaVel;Freeman;LaVel Maurice;1963;2;18;USA;CA;Oakland;;;;;;;170;69;L;L;1989-04-07;1989-04-08
freemma01;Mark;Freeman;Mark Price;1930;12;7;USA;TN;Memphis;2006;2;21;USA;CA;Rancho Mirage;220;76;R;R;1959-04-18;1960-09-19
freemma02;Marvin;Freeman;Marvin;1963;4;10;USA;IL;Chicago;;;;;;;200;79;R;R;1986-09-16;1996-09-14
freemmi01;Mike;Freeman;Michael Barrett;1987;8;4;USA;FL;Orlando;;;;;;;195;72;L;R;2016-07-17;2021-08-04
freemsa01;Sam;Freeman;Samuel Douglas;1987;6;24;USA;TX;Houston;;;;;;;180;71;R;L;2012-06-01;2020-08-12
freesda01;David;Freese;David Richard;1983;4;28;USA;TX;Corpus Christi;;;;;;;213;74;R;R;2009-04-06;2019-09-28
freesge01;George;Freese;George Walter;1926;9;12;USA;WV;Wheeling;2014;7;27;USA;OR;Portland;190;72;R;R;1953-04-29;1961-05-31
freesge02;Gene;Freese;Eugene Lewis;1934;1;8;USA;WV;Wheeling;2013;6;19;USA;LA;New Orleans;175;71;R;R;1955-04-13;1966-09-03
freezja01;Jake;Freeze;Carl Alexander;1900;4;25;USA;AR;Huntington;1983;4;9;USA;TX;San Angelo;150;68;R;R;1925-07-01;1925-07-02
fregoji01;Jim;Fregosi;James Louis;1942;4;4;USA;CA;San Francisco;2014;2;14;USA;FL;Miami;190;73;R;R;1961-09-14;1978-05-31
freibve01;Vern;Freiburger;Vern Donald;1923;12;19;USA;MI;Detroit;1990;2;27;USA;CA;Palm Springs;170;73;R;L;1941-09-06;1941-09-15
freigho01;Howard;Freigau;Howard Earl;1902;8;1;USA;OH;Dayton;1932;7;18;USA;TN;Chattanooga;160;70;R;R;1922-09-13;1928-09-29
freimna01;Nate;Freiman;Nathan Samuel;1986;12;31;USA;DC;Washington;;;;;;;245;80;R;R;2013-04-03;2014-09-27
freiral01;Alejandro;Freire;Alejandro;1974;8;23;Venezuela;Distrito Federal;Caracas;;;;;;;225;74;R;R;2005-08-09;2005-10-01
freisda01;Dave;Freisleben;David James;1951;10;31;USA;PA;Coraopolis;;;;;;;195;71;R;R;1974-04-26;1979-09-30
freitda01;David;Freitas;David Joseph;1989;3;18;USA;CA;Wilton;;;;;;;250;74;R;R;2017-08-30;2019-09-29
freitto01;Tony;Freitas;Antonio;1908;5;5;USA;CA;Mill Valley;1994;3;14;USA;CA;Orangevale;161;68;R;L;1932-05-31;1936-05-31
frencbi01;Bill;French;William Henry;1849;;;USA;MD;Baltimore;1893;5;31;USA;MD;Baltimore;;;;;1873-04-14;1873-06-30
frencch01;Charlie;French;Charles Calvin;1883;10;12;USA;IN;Indianapolis;1962;3;30;USA;IN;Indianapolis;140;66;L;R;1909-05-23;1910-09-13
frencji01;Jim;French;Richard James;1941;8;13;USA;OH;Warren;;;;;;;180;68;L;R;1965-09-12;1971-05-14
frencla01;Larry;French;Lawrence Herbert;1907;11;1;USA;CA;Visalia;1987;2;9;USA;CA;San Diego;195;73;R;L;1929-04-18;1942-09-26
frenclu01;Luke;French;Lucas Stephen;1985;9;13;USA;KS;Salina;;;;;;;220;76;L;L;2009-05-15;2010-10-01
frencpa01;Pat;French;Frank Alexander;1893;9;22;USA;NH;Dover;1969;7;13;USA;ME;Bath;180;73;R;R;1917-07-02;1917-07-04
frencra01;Ray;French;Raymond Edward;1895;1;9;USA;CA;Alameda;1978;4;3;USA;CA;Alameda;158;69;R;R;1920-09-17;1924-07-10
frencwa01;Walt;French;Walter Edward;1899;7;12;USA;NJ;Moorestown;1984;5;13;USA;AR;Mountain Home;155;67;L;R;1923-09-15;1929-10-06
freybe01;Benny;Frey;Benjamin Rudolph;1906;4;6;USA;MI;Dexter;1937;11;1;USA;MI;Spring Arbor Township;165;70;R;R;1929-09-18;1936-09-22
freyji99;Jim;Frey;James Gottfried;1931;5;26;USA;OH;Cleveland;2020;4;12;USA;FL;Ponte Vedra Beach;170;69;L;L;;
freylo01;Lonny;Frey;Linus Reinhard;1910;8;23;USA;MO;St. Louis;2009;9;13;USA;ID;Coeur d'Alene;160;70;L;R;1933-08-29;1948-09-28
freyst01;Steve;Frey;Steven Francis;1963;7;29;USA;PA;Meadowbrook;;;;;;;170;69;R;L;1989-05-10;1996-08-02
friasca01;Carlos;Frias;Carlos David;1989;11;13;D.R.;Maria Trinidad Sanchez;Nagua;;;;;;;195;76;R;R;2014-08-04;2016-07-07
friasha01;Hanley;Frias;Hanley;1973;12;5;D.R.;San Cristobal;Villa Altagracia;;;;;;;160;72;B;R;1997-06-21;2000-10-01
friaslu01;Luis;Frias;Luis David;1998;5;23;D.R.;Maria Trinidad Sanchez;Rio San Juan;;;;;;;245;75;R;R;2021-09-19;2021-10-02
friaspe01;Pepe;Frias;Jesus Maria;1948;7;14;D.R.;San Pedro de Macoris;San Pedro de Macoris;;;;;;;159;70;R;R;1973-04-06;1981-08-26
fribebe01;Bernie;Friberg;Bernard Albert;1899;8;18;USA;NH;Manchester;1958;12;8;USA;MA;Lynn;178;71;R;R;1919-08-20;1933-06-27
fricama01;Marion;Fricano;Marion John;1923;7;15;USA;NY;Brant;1976;5;18;Mexico;Baja California;Tijuana;170;72;R;R;1952-09-06;1955-08-07
frickfo99;Ford;Frick;Ford Christopher;1894;12;19;USA;IN;Wawaka;1978;4;8;USA;NY;Bronxville;;;;;;
fridask01;Skipper;Friday;Grier William;1897;10;26;USA;NC;Gastonia;1962;8;25;USA;NC;Gastonia;170;71;R;R;1923-06-17;1923-08-07
fridlji01;Jim;Fridley;James Riley;1924;9;6;USA;WV;Phillippi;2003;2;28;USA;FL;Port Charlotte;205;74;R;R;1952-04-15;1958-09-27
friedbo01;Bob;Friedrichs;Robert George;1906;8;30;USA;OH;Cincinnati;1997;4;15;USA;IN;Jasper;165;71;R;R;1932-05-17;1932-05-21
friedch01;Christian;Friedrich;Christian Louis Patrick;1987;7;8;USA;IL;Evanston;;;;;;;222;76;R;L;2012-05-09;2016-09-29
friedcy01;Cy;Fried;Arthur Edwin;1897;7;23;USA;TX;San Antonio;1970;10;9;USA;TX;San Antonio;150;71;L;L;1920-09-17;1920-09-23
friedma01;Max;Fried;Max Dorian;1994;1;18;USA;CA;Santa Monica;;;;;;;190;76;L;L;2017-08-08;2021-09-29
friedtj01;TJ;Friedl;Terry Lee;1995;8;14;USA;PA;Sewickley;;;;;;;180;70;L;L;2021-09-18;2021-10-03
frielbi01;Bill;Friel;William Edward;1876;4;1;USA;PA;Renovo;1959;12;24;USA;MO;St. Louis;165;70;L;R;1901-05-03;1903-09-13
frielpa01;Pat;Friel;Patrick Henry;1858;6;11;USA;WV;Lewisburg;1924;1;15;USA;RI;Providence;170;71;B;;1890-07-13;1891-04-09
frienbo01;Bob;Friend;Robert Bartmess;1930;11;24;USA;IN;Lafayette;2019;2;3;USA;PA;O'Hara Township;190;72;R;R;1951-04-28;1966-09-24
frienda01;Danny;Friend;Daniel Sebastian;1873;4;18;USA;OH;Cincinnati;1942;6;1;USA;OH;Chillicothe;175;69;L;L;1895-09-10;1898-05-08
frienfr01;Frank;Freund;Lawrence Joseph;1875;7;5;USA;IN;Jeffersonville;1933;11;4;USA;IN;Jeffersonville;180;70;;R;1896-08-02;1896-08-03
frienow01;Owen;Friend;Owen Lacey;1927;3;21;USA;IL;Granite City;2007;10;14;USA;KS;Wichita;180;73;R;R;1949-10-02;1956-05-16
frierbu01;Buck;Frierson;Robert Lawrence;1917;7;29;USA;TX;Chicota;1996;6;26;USA;TX;Paris;195;75;R;R;1941-09-09;1941-09-15
frierer01;Ernesto;Frieri;Ernesto;1985;7;19;Colombia;Bolivar;Arjona;;;;;;;205;72;R;R;2009-09-26;2017-07-03
friespe01;Pete;Fries;Peter Martin;1857;10;30;USA;PA;Scranton;1937;7;29;USA;IL;Chicago;160;68;L;L;1883-08-10;1884-05-16
frilljo01;John;Frill;John Edmond;1879;4;3;USA;PA;Reading;1918;9;28;USA;RI;Westerly;170;70;R;L;1910-04-16;1912-08-21
frinkfr01;Fred;Frink;Frederick Ferdinand;1911;8;25;USA;GA;Macon;1995;5;19;USA;FL;Miami Springs;180;73;R;R;1934-07-01;1934-07-14
frisbch01;Charlie;Frisbee;Charles Augustus;1874;2;2;USA;IA;Dows;1954;11;7;USA;IA;Iowa Falls;175;69;B;R;1899-06-22;1900-05-13
friscfr01;Frankie;Frisch;Frank Francis;1897;9;9;USA;NY;Bronx;1973;3;12;USA;DE;Wilmington;165;71;B;R;1919-06-17;1937-08-05
friseda01;Danny;Frisella;Daniel Vincent;1946;3;4;USA;CA;San Francisco;1977;1;1;USA;AZ;Phoenix;185;72;L;R;1967-07-27;1976-09-23
friskem01;Emil;Frisk;John Emil;1874;10;15;USA;MI;Kalkaska;1922;1;27;USA;WA;Seattle;190;73;L;R;1899-09-02;1907-04-23
fritzch01;Charlie;Fritz;Charles Cornelius;1882;6;13;USA;AL;Mobile;1943;7;30;USA;AL;Mobile;;;;L;1907-10-05;1907-10-05
fritzha01;Harry;Fritz;Harry Koch;1890;9;30;USA;PA;Philadelphia;1974;11;4;USA;OH;Upper Arlington;170;68;R;R;1913-09-29;1915-09-18
fritzla01;Larry;Fritz;Laurence Joseph;1949;2;14;USA;IN;East Chicago;2010;7;22;USA;IN;Munster;225;74;L;L;1975-05-30;1975-05-30
froatbi01;Bill;Froats;William John;1930;10;20;USA;NY;New York;1998;2;9;USA;MN;Minneapolis;180;72;L;L;1955-04-22;1955-04-22
frobedo01;Doug;Frobel;Douglas Steven;1959;6;6;CAN;ON;Ottawa;;;;;;;196;76;L;R;1982-09-05;1987-08-23
frocksa01;Sam;Frock;Samuel William;1882;12;23;USA;MD;Baltimore;1925;11;3;USA;MD;Baltimore;168;72;R;R;1907-09-21;1911-05-06
froelbe01;Al;Froehlich;Albert George;1885;1;2;USA;NY;Brooklyn;1941;3;15;USA;NY;Brooklyn;;;R;R;1909-07-02;1909-07-02
frohwto01;Todd;Frohwirth;Todd Gerard;1962;9;28;USA;WI;Milwaukee;2017;3;26;USA;WI;Waukesha;190;76;R;R;1987-08-10;1996-05-27
frommar01;Art;Fromme;Arthur Henry;1883;9;3;USA;IL;Quincy;1956;8;24;USA;CA;Los Angeles;178;72;R;R;1906-09-14;1915-05-07
frostda01;Dave;Frost;Carl David;1952;11;17;USA;CA;Long Beach;;;;;;;235;78;R;R;1977-09-11;1982-10-03
frutoem01;Emiliano;Fruto;Emiliano Ricardo;1984;6;6;Colombia;Bolivar;Cartagena;;;;;;;230;75;R;R;2006-05-14;2006-09-29
fryech01;Charlie;Frye;Charlie Andrew;1913;7;17;USA;NC;Hickory;1945;5;25;USA;NC;Hickory;175;73;R;R;1940-07-28;1940-09-22
fryeje01;Jeff;Frye;Jeffrey Dustin;1966;8;31;USA;CA;Oakland;;;;;;;180;69;R;R;1992-07-09;2001-09-20
fryerer01;Eric;Fryer;Eric Joseph;1985;8;26;USA;OH;Columbus;;;;;;;215;74;R;R;2011-06-26;2017-07-20
fryja01;Jace;Fry;Jace Hayden;1993;7;9;USA;OR;Portland;;;;;;;220;73;L;L;2017-09-05;2021-09-21
fryje01;Jerry;Fry;Jerry Ray;1956;2;29;USA;CA;Salinas;;;;;;;185;72;R;R;1978-09-04;1978-09-09
fryjo01;Johnson;Fry;Johnson;1901;11;21;USA;WV;Huntington;1959;4;7;USA;IL;Carmi;150;73;R;R;1923-08-24;1923-08-24
frymatr01;Travis;Fryman;David Travis;1969;3;25;USA;KY;Lexington;;;;;;;180;73;R;R;1990-07-07;2002-09-29
frymawo01;Woodie;Fryman;Woodrow Thompson;1940;4;12;USA;KY;Ewing;2011;2;4;USA;KY;Lexington;197;75;R;L;1966-04-15;1983-07-28
frypa01;Paul;Fry;Paul Raymond;1992;7;26;USA;MI;Pontiac;;;;;;;205;72;L;L;2018-06-29;2021-08-29
fuchsch01;Charlie;Fuchs;Charles Thomas;1913;11;18;USA;NJ;Union City;1969;6;10;USA;NJ;Weehawken;168;68;B;R;1942-04-17;1944-08-05
fuchsju99;Judge;Fuchs;Emil Edwin;1878;4;17;Germany;Hamburg;Hamburg;1961;12;5;USA;MA;Boston;;;;;;
fuentbr01;Brian;Fuentes;Brian Christopher;1975;8;9;USA;CA;Merced;;;;;;;230;76;L;L;2001-06-02;2012-08-08
fuentjo01;Joshua;Fuentes;Joshua;1993;2;19;USA;CA;Rancho Santa Margarita;;;;;;;209;74;R;R;2019-04-06;2021-09-07
fuentmi01;Miguel;Fuentes;Miguel;1946;5;10;P.R.;;Loiza Aldea;1970;1;29;P.R.;;Loiza Aldea;160;72;R;R;1969-09-01;1969-10-02
fuentmi02;Mike;Fuentes;Michael Jay;1958;6;11;USA;FL;Miami;;;;;;;190;75;R;R;1983-09-02;1984-09-21
fuentre01;Rey;Fuentes;Reymond Louis;1991;2;12;USA;FL;Orlando;;;;;;;160;72;L;L;2013-08-26;2017-09-30
fuentti01;Tito;Fuentes;Rigoberto;1942;1;4;Cuba;La Habana;La Habana;;;;;;;175;71;B;R;1965-08-18;1978-07-09
fuhrmol01;Ollie;Fuhrman;Alfred George;1896;7;20;USA;MN;Jordan;1969;1;11;USA;IL;Peoria;185;71;B;R;1922-04-13;1922-05-12
fuhros01;Oscar;Fuhr;Oscar Lawrence;1893;8;22;USA;MO;Defiance;1975;3;29;USA;TX;Dallas;176;72;L;L;1921-04-19;1925-09-26
fujikky01;Kyuji;Fujikawa;Kyuji;1980;7;21;Japan;Kochi;Kochi;;;;;;;190;72;L;R;2013-04-01;2015-05-15
fukudko01;Kosuke;Fukudome;Kosuke;1977;4;26;Japan;Kagoshima;So-gun;;;;;;;200;72;L;R;2008-03-31;2012-06-03
fukumka01;Kazuo;Fukumori;Kazuo;1976;8;4;Japan;Miyazaki;Miyakonojo;;;;;;;175;72;R;R;2008-03-31;2008-04-24
fulchje01;Jeff;Fulchino;Jeffrey Joseph;1979;11;26;USA;FL;Titusville;;;;;;;270;76;R;R;2006-06-22;2011-09-12
fuldsa01;Sam;Fuld;Samuel Babson;1981;11;20;USA;NH;Durham;;;;;;;180;69;L;L;2007-09-05;2015-10-04
fulghdo01;Dot;Fulghum;James Lavoisier;1900;7;4;USA;GA;Valdosta;1947;11;2;USA;FL;Miami;165;68;R;R;1921-09-15;1921-09-24
fulghjo01;John;Fulgham;John Thomas;1956;6;9;USA;MO;St. Louis;;;;;;;205;74;R;R;1979-06-19;1980-08-27
fullecu01;Curt;Fullerton;Curtis Hooper;1898;9;13;USA;ME;Ellsworth;1975;1;9;USA;MA;Winthrop;162;72;L;R;1921-04-14;1933-09-23
fulleed01;Ed;Fuller;Edward Aston White;1869;3;22;USA;DC;Washington;1935;3;15;USA;MD;Hyattsville;158;72;R;R;1886-07-17;1886-07-22
fullefr01;Frank;Fuller;Frank Edward;1894;1;1;USA;MI;Detroit;1965;10;29;USA;MI;Warren;150;67;B;R;1915-04-14;1923-10-07
fulleha01;Harry;Fuller;Henry W.;1862;12;5;USA;OH;Cincinnati;1895;12;12;USA;OH;Cincinnati;160;68;;;1891-09-19;1891-09-19
fulleji01;Jim;Fuller;James Hardy;1950;11;28;USA;MD;Bethesda;;;;;;;215;75;R;R;1973-09-10;1977-09-25
fullejo01;John;Fuller;John Edward;1950;1;29;USA;CA;Lynwood;;;;;;;180;74;L;L;1974-05-09;1974-05-12
fulleni01;Nig;Fuller;Charles F.;1878;3;30;USA;OH;Toledo;1937;3;1;USA;OH;Toledo;165;71;R;R;1902-07-01;1902-07-12
fullesh01;Shorty;Fuller;William Benjamin;1867;10;10;USA;OH;Cincinnati;1904;4;11;USA;OH;Cincinnati;157;66;R;R;1888-07-19;1896-06-02
fulleve01;Vern;Fuller;Vernon Gordon;1944;3;1;USA;WI;Menomonee;;;;;;;170;73;R;R;1964-09-05;1970-10-01
fullich01;Chick;Fullis;Charles Philip;1901;2;27;USA;PA;Girardville;1946;3;28;USA;PA;Ashland;170;69;R;R;1928-04-13;1936-09-26
fullmbr01;Brad;Fullmer;Bradley Ryan;1975;1;17;USA;CA;Chatsworth;;;;;;;185;73;L;R;1997-09-02;2004-07-24
fulmeca01;Carson;Fulmer;Carson Springer;1993;12;13;USA;FL;Lakeland;;;;;;;210;72;R;R;2016-07-17;2021-05-20
fulmech01;Chick;Fulmer;Charles John;1851;2;13;USA;PA;Philadelphia;1940;2;15;USA;PA;Philadelphia;158;72;R;R;1871-06-05;1884-08-16
fulmech02;Chris;Fulmer;Christopher;1858;7;4;USA;PA;Tamaqua;1931;11;9;USA;PA;Tamaqua;165;68;R;R;1884-08-04;1889-06-27
fulmemi01;Michael;Fulmer;Michael Joseph;1993;3;15;USA;OK;Oklahoma City;;;;;;;224;75;R;R;2016-04-29;2021-10-03
fulmewa01;Washington;Fulmer;Washington Fayette;1840;6;15;USA;PA;Philadelphia;1907;12;8;USA;PA;Philadelphia;180;69;;;1875-07-19;1875-07-19
fultobi01;Bill;Fulton;William David;1963;10;22;USA;PA;Pittsburgh;;;;;;;195;75;R;R;1987-09-12;1987-09-28
fultzaa01;Aaron;Fultz;Richard Aaron;1973;9;4;USA;TN;Memphis;;;;;;;196;72;L;L;2000-04-05;2007-09-30
fultzda01;Dave;Fultz;David Lewis;1875;5;29;USA;VA;Staunton;1959;10;29;USA;FL;DeLand;170;71;R;R;1898-07-01;1905-09-30
fundema01;Mark;Funderburk;Mark Clifford;1957;5;16;USA;NC;Charlotte;;;;;;;226;76;R;R;1981-09-04;1985-10-05
funkfr01;Frank;Funk;Franklin Ray;1935;8;30;USA;DC;Washington;;;;;;;175;72;R;R;1960-09-03;1963-09-22
funkhky01;Kyle;Funkhouser;Kyle James;1994;3;16;USA;IL;Palos Heights;;;;;;;229;75;R;R;2020-07-27;2021-10-02
funkli01;Liz;Funk;Elias Calvin;1904;10;28;USA;KS;La Cygne;1968;1;16;USA;OK;Norman;160;68;L;L;1929-04-26;1933-05-20
funkto01;Tom;Funk;Thomas James;1962;3;13;USA;MO;Kansas City;;;;;;;210;74;L;L;1986-07-24;1986-08-23
furbuch01;Charlie;Furbush;Charles Roderick;1986;4;11;USA;ME;South Portland;;;;;;;215;77;L;L;2011-05-23;2015-07-07
furcara01;Rafael;Furcal;Rafael;1977;10;24;D.R.;Dajabon;Loma de Cabrera;;;;;;;195;68;B;R;2000-04-04;2014-06-21
furilca01;Carl;Furillo;Carl Anthony;1922;3;8;USA;PA;Stony Creek Mills;1989;1;21;USA;PA;Stony Creek Mills;190;72;R;R;1946-04-16;1960-05-07
furmajj01;J. J.;Furmaniak;Jason Joseph;1979;7;31;USA;IL;Naperville;;;;;;;190;72;R;R;2005-09-13;2007-09-29
fussech01;Chris;Fussell;Christopher Wren;1976;5;19;USA;OH;Oregon;;;;;;;185;74;R;R;1998-09-15;2000-10-01
fusseed01;Eddie;Fusselback;Edward L.;1856;7;17;USA;PA;Philadelphia;1926;4;14;USA;PA;Philadelphia;156;66;R;;1882-05-03;1888-08-28
fussefr01;Fred;Fussell;Frederick Morris;1895;10;7;USA;MO;Sheridan;1966;10;23;USA;NY;Syracuse;155;70;L;L;1922-09-23;1929-09-29
fussele01;Les;Fusselman;Lester Leroy;1921;3;7;USA;OK;Pryor;1970;5;21;USA;OH;Cleveland;195;73;R;R;1952-04-16;1953-06-12
fyhrimi01;Mike;Fyhrie;Michael Edwin;1969;12;9;USA;CA;Long Beach;;;;;;;190;74;R;R;1996-09-14;2002-09-28
gabbaka01;Kason;Gabbard;Kason Ronald;1982;4;8;USA;OH;Oxford;;;;;;;200;75;L;L;2006-07-22;2008-06-27
gabinar01;Armando;Gabino;Armando Leisdeker;1983;8;31;D.R.;Santiago;Santiago;;;;;;;210;75;R;R;2009-08-25;2010-08-26
gablefr01;Frank;Gabler;Frank Harold;1911;11;6;USA;CA;East Highland;1967;11;1;USA;CA;Long Beach;175;73;R;R;1935-04-19;1938-09-29
gablega01;Gabe;Gabler;William Louis;1930;8;4;USA;MO;St. Louis;2014;1;4;USA;MO;St. Louis;190;73;L;R;1958-09-16;1958-09-21
gablega02;John;Gabler;John Richard;1930;10;2;USA;MO;Kansas City;2009;2;7;USA;KS;Overland Park;165;74;B;R;1959-09-18;1961-09-17
gableke01;Ken;Gables;Kenneth Harlin;1919;1;31;USA;MO;Walnut Grove;1960;1;2;USA;MO;Walnut Grove;210;71;R;R;1945-04-18;1947-04-20
gabrile01;Len;Gabrielson;Leonard Hilbourne;1915;9;8;USA;CA;Oakland;2000;11;14;USA;CA;Stanford;210;75;L;L;1939-04-21;1939-04-25
gabrile02;Len;Gabrielson;Leonard Gary;1940;2;14;USA;CA;Oakland;;;;;;;210;76;L;R;1960-09-09;1970-09-30
gaddyjo01;John;Gaddy;John Wilson;1914;2;5;USA;NC;Wadesboro;1966;5;3;USA;NC;Albemarle;182;72;R;R;1938-09-27;1938-10-02
gaedeed01;Eddie;Gaedel;Edward Carl;1925;6;8;USA;IL;Chicago;1961;6;18;USA;IL;Chicago;65;43;R;L;1951-08-19;1951-08-19
gaettga01;Gary;Gaetti;Gary Joseph;1958;8;19;USA;IL;Centralia;;;;;;;180;72;R;R;1981-09-20;2000-04-12
gaffbr01;Brent;Gaff;Brent Allen;1958;10;5;USA;IN;Fort Wayne;;;;;;;200;74;R;R;1982-07-07;1984-09-30
gaffkfa01;Fabian;Gaffke;Fabian Sebastian;1913;8;5;USA;WI;Milwaukee;1992;2;8;USA;WI;Milwaukee;185;70;R;R;1936-09-09;1942-08-12
gaffnjo99;John;Gaffney;John H.;1855;6;29;USA;MA;Roxbury;1913;8;8;USA;NY;New York;;;;;;
gagliph01;Phil;Gagliano;Philip Joseph;1941;12;27;USA;TN;Memphis;2016;12;20;USA;MO;Hollister;180;73;R;R;1963-04-16;1974-10-01
gaglira01;Ralph;Gagliano;Ralph Michael;1946;10;8;USA;TN;Memphis;;;;;;;170;71;L;R;1965-09-21;1965-09-21
gagneer01;Eric;Gagne;Eric Serge;1976;1;7;CAN;QC;Montreal;;;;;;;195;74;R;R;1999-09-07;2008-09-25
gagnegr01;Greg;Gagne;Gregory Carpenter;1961;11;12;USA;MA;Fall River;;;;;;;185;71;R;R;1983-06-05;1997-09-27
gagnied01;Ed;Gagnier;John Edward;1883;4;16;USA;MI;Hamtramck;1946;9;13;USA;MI;Detroit;170;69;R;R;1914-04-14;1915-09-08
gagnoch01;Chick;Gagnon;Harold Dennis;1897;9;27;USA;MA;Milbury;1970;4;30;USA;DE;Wilmington;158;67;R;R;1922-06-27;1924-07-10
gagnodr01;Drew;Gagnon;Andrew Miles;1990;6;26;USA;CA;Columbia;;;;;;;215;76;R;R;2018-07-10;2019-09-25
gagusch01;Charlie;Geggus;Charles Frederick;1862;3;25;USA;CA;San Francisco;1917;1;16;USA;CA;San Francisco;150;67;R;;1884-08-07;1884-10-19
gailled01;Eddie;Gaillard;Julian Edward;1970;8;13;USA;NJ;Camden;;;;;;;180;73;R;R;1997-08-11;1999-10-03
gainede01;Del;Gainer;Dellas Clinton;1886;11;10;USA;WV;Montrose;1947;1;29;USA;WV;Elkins;180;72;R;R;1909-10-02;1922-09-30
gaineja01;Jay;Gainer;Johnathan Keith;1966;10;8;USA;FL;Panama City;;;;;;;190;72;L;L;1993-05-14;1993-10-02
gainejo01;Joe;Gaines;Arnesta Joe;1936;11;22;USA;TX;Bryan;;;;;;;190;73;R;R;1960-06-29;1966-10-02
gainene01;Nemo;Gaines;Willard Roland;1897;12;23;USA;VA;Alexandria;1979;1;26;USA;VA;Warrenton;180;72;L;L;1921-06-26;1921-07-16
